Time,Open,High,Low,Last,Change,%Chg,Volume
08/19/2022,59.83,59.83,58.902,59.391,-0.473,-0.79%,412
08/18/2022,60.498,60.728,59.398,59.864,-0.623,-1.03%,371
08/17/2022,61.193,61.193,60.331,60.487,-0.73,-1.19%,573
08/16/2022,61.609,61.609,61.08,61.217,-0.403,-0.65%,361
08/15/2022,61.007,61.785,60.71,61.62,0.581,+0.95%,250
08/12/2022,60.583,61.509,60.542,61.039,0.449,+0.74%,375
08/11/2022,61.381,61.392,60.45,60.59,-0.774,-1.26%,436
08/10/2022,60.44,61.395,60.253,61.364,0.924,+1.53%,482
08/09/2022,61.364,61.364,60.186,60.44,-0.976,-1.59%,646
08/08/2022,60.5,61.416,59.943,61.416,0.923,+1.53%,1173
08/05/2022,61.411,61.415,60.143,60.493,-0.914,-1.49%,403
08/04/2022,61.337,61.437,60.057,61.407,0.06,+0.10%,374
08/03/2022,60.41,61.493,60.038,61.347,0.961,+1.59%,313
08/02/2022,62.283,62.283,59.959,60.386,-1.987,-3.19%,517
08/01/2022,63.048,63.048,60.867,62.373,-0.735,-1.16%,542
07/29/2022,61.663,63.485,60.706,63.108,1.506,+2.44%,377
07/28/2022,59.34,61.602,59.34,61.602,2.262,+3.81%,376
07/27/2022,60.259,60.622,59.34,59.34,-0.933,-1.55%,447
07/26/2022,58.569,60.632,58.121,60.273,1.652,+2.82%,1007
07/25/2022,58.236,58.621,57.262,58.621,0.364,+0.62%,1196
07/22/2022,57.866,58.869,56.707,58.257,0.399,+0.69%,711
07/21/2022,55.332,57.858,55.102,57.858,2.492,+4.50%,207
07/20/2022,56.392,56.392,54.754,55.366,-0.999,-1.77%,261
07/19/2022,57.768,57.768,55.083,56.365,-1.463,-2.53%,209
07/18/2022,58.138,58.138,56.25,57.828,-0.36,-0.62%,175
07/15/2022,58.24,58.393,57.163,58.188,-0.052,-0.09%,453
07/14/2022,58.44,58.44,58.059,58.24,-0.2,-0.34%,326
07/13/2022,58.39,58.969,58.274,58.44,0.05,+0.09%,507
07/12/2022,62.539,62.539,58.39,58.39,-4.228,-6.75%,1248
07/11/2022,63.733,63.733,61.119,62.618,-1.174,-1.84%,378
07/08/2022,62.961,63.812,61.005,63.792,0.752,+1.19%,507
07/07/2022,62.976,63.403,62.913,63.04,0.105,+0.17%,569
07/06/2022,64.157,66.147,62.725,62.935,-1.284,-2.00%,377
07/05/2022,55.657,64.627,55.254,64.219,8.511,+15.28%,372
07/04/2022,56.033,56.033,54.525,55.708,-0.395,-0.70%,375
07/01/2022,54.956,56.103,52.729,56.103,1.604,+2.94%,459
06/30/2022,53.071,54.585,52.024,54.499,1.381,+2.60%,373
06/29/2022,53.609,53.727,50.605,53.118,-0.483,-0.90%,628
06/28/2022,53.09,53.769,52.802,53.601,0.511,+0.96%,1185
06/27/2022,53.912,53.912,53.078,53.09,-0.893,-1.65%,502
06/24/2022,54.47,54.47,53.115,53.983,-0.488,-0.90%,557
06/23/2022,54.124,54.651,53.095,54.471,0.393,+0.73%,632
06/22/2022,54.066,54.324,53.066,54.078,-0.005,-0.01%,557
06/21/2022,55.508,55.697,54.031,54.083,-1.413,-2.55%,690
06/20/2022,57.172,57.172,55.323,55.496,-1.711,-2.99%,555
06/17/2022,57.738,57.738,56.118,57.207,-0.562,-0.97%,580
06/16/2022,57.044,57.962,56.601,57.769,0.739,+1.30%,765
06/15/2022,58.557,58.582,56.222,57.03,-1.534,-2.62%,621
06/14/2022,57.26,58.595,56.294,58.564,1.283,+2.24%,628
06/13/2022,58.028,58.028,56.659,57.281,-0.733,-1.26%,492
06/10/2022,58.101,59.235,56.999,58.014,-0.117,-0.20%,551
06/09/2022,60.556,60.611,57.84,58.131,-2.432,-4.02%,601
06/08/2022,61.991,61.991,59.946,60.563,-1.391,-2.25%,507
06/07/2022,61.593,62.079,60.914,61.954,0.361,+0.59%,488
06/06/2022,63.558,63.558,60.805,61.593,-1.972,-3.10%,430
06/03/2022,63.904,63.904,61.523,63.565,-0.382,-0.60%,398
06/02/2022,63.465,64.048,61.067,63.947,0.481,+0.76%,352
06/01/2022,62.568,63.736,61.191,63.466,0.831,+1.33%,347
05/31/2022,64.195,64.195,61.093,62.635,-1.588,-2.47%,521
05/30/2022,66.81,66.81,61.595,64.223,-2.611,-3.91%,611
05/27/2022,64.464,67.617,64.464,66.834,2.403,+3.73%,603
05/26/2022,59.943,64.431,59.553,64.431,4.517,+7.54%,170
05/25/2022,56.98,59.914,55.99,59.914,3.01,+5.29%,580
05/24/2022,58.642,58.679,56.328,56.904,-1.711,-2.92%,505
05/23/2022,62.114,62.139,57.452,58.615,-3.472,-5.59%,626
05/20/2022,62.09,62.846,57.939,62.087,-0.003,0.00%,623
05/19/2022,64.566,64.566,62.036,62.09,-2.503,-3.88%,778
05/18/2022,65.395,65.4,63.403,64.593,-0.806,-1.23%,523
05/17/2022,64.369,65.612,64.346,65.399,1.047,+1.63%,473
05/16/2022,64.997,65.1,63.789,64.352,-0.647,-1.00%,521
05/13/2022,64.76,65.8,63.354,64.999,0.254,+0.39%,521
05/12/2022,67.13,67.13,64.047,64.745,-2.417,-3.60%,542
05/11/2022,69.789,69.789,66.46,67.162,-2.623,-3.76%,553
05/10/2022,69.913,69.913,68.425,69.785,-0.124,-0.18%,328
05/09/2022,68.181,70.117,68.181,69.909,1.731,+2.54%,137
05/06/2022,65.094,68.178,65.085,68.178,3.06,+4.70%,96
05/05/2022,66.159,66.159,65.114,65.118,-1.047,-1.58%,293
05/04/2022,68.255,68.255,65.703,66.165,-2.093,-3.07%,748
05/03/2022,71.115,71.115,66.526,68.258,-2.893,-4.07%,470
05/02/2022,71.288,72.227,70.031,71.151,-0.196,-0.27%,503
04/29/2022,72.023,72.845,70.51,71.347,-0.636,-0.88%,499
04/28/2022,73.938,74.987,71.936,71.983,-1.952,-2.64%,546
04/27/2022,75.046,75.517,73.935,73.935,-1.069,-1.43%,592
04/26/2022,74.824,75.311,73.662,75.004,0.193,+0.26%,619
04/25/2022,77.345,77.379,73.887,74.811,-2.498,-3.23%,576
04/22/2022,80.319,80.656,76.92,77.309,-2.969,-3.70%,556
04/21/2022,82.143,82.356,79.721,80.278,-1.859,-2.26%,521
04/20/2022,80.83,83.341,80.141,82.137,1.341,+1.66%,601
04/19/2022,81.072,81.098,79.205,80.796,-0.274,-0.34%,446
04/18/2022,82.275,82.613,80.525,81.07,-1.133,-1.38%,122
04/15/2022,82.368,82.502,80.997,82.203,-0.148,-0.18%,102
04/14/2022,82.423,83.245,81.929,82.351,-0.069,-0.08%,540
04/13/2022,85.292,85.307,81.78,82.42,-2.868,-3.36%,405
04/12/2022,84.038,85.288,82.636,85.288,1.157,+1.38%,576
04/11/2022,80.483,84.229,80.483,84.131,3.738,+4.65%,557
04/08/2022,79.107,80.407,76.535,80.393,1.198,+1.51%,594
04/07/2022,83.03,83.159,77.36,79.195,-3.762,-4.53%,546
04/06/2022,83.62,84.87,82.423,82.957,-0.636,-0.76%,584
04/05/2022,83.968,85.053,83.367,83.593,-0.414,-0.49%,736
04/04/2022,85.818,85.913,83.684,84.007,-1.761,-2.05%,757
04/01/2022,81.455,85.768,81.455,85.768,4.333,+5.32%,705
03/31/2022,84.096,84.096,81.404,81.435,-2.71,-3.22%,323
03/30/2022,87.787,87.816,83.644,84.145,-3.667,-4.18%,172
03/29/2022,96.022,96.022,85.651,87.812,-8.128,-8.47%,279
03/28/2022,100.146,100.638,95.933,95.94,-4.152,-4.15%,265
03/25/2022,101.01,101.251,97.948,100.092,-0.825,-0.82%,263
03/24/2022,97.665,100.917,96.242,100.917,3.294,+3.37%,195
03/23/2022,105.755,105.9,97.623,97.623,-8.112,-7.67%,2202
03/22/2022,106.437,106.487,103.474,105.735,-0.688,-0.65%,2195
03/21/2022,132.099,132.099,104.025,106.423,0.351,+0.33%,2668
03/18/2022,103.227,106.072,102.12,106.072,2.805,+2.72%,2813
03/17/2022,99.74,105.513,98.43,103.267,3.621,+3.63%,2059
03/16/2022,106.682,112.286,99.646,99.646,-7.053,-6.61%,2675
03/15/2022,122.612,122.612,106.386,106.699,-15.963,-13.01%,1912
03/14/2022,132.099,132.444,110.27,122.662,2.271,+1.89%,1202
03/11/2022,126.801,129.484,113.782,120.391,-6.26,-4.94%,775
03/10/2022,123.708,129.431,116.272,126.651,3.252,+2.64%,1711
03/09/2022,129.045,132.427,116.043,123.399,-5.768,-4.47%,936
03/08/2022,141.835,141.835,129.167,129.167,-12.958,-9.12%,124
03/07/2022,106.951,143.242,106.951,142.125,35.86,+33.75%,53
03/04/2022,109.61,113.813,104.788,106.265,-3.327,-3.04%,1712
03/03/2022,100.015,118.152,100.004,109.592,9.681,+9.69%,5452
03/02/2022,109.706,116.713,99.315,99.911,-9.891,-9.01%,2955
03/01/2022,108.215,115.733,90.727,109.802,1.567,+1.45%,4193
02/28/2022,84.202,108.536,84.202,108.235,24.545,+29.33%,2450
02/25/2022,84.325,85.609,81.583,83.69,-0.635,-0.75%,47908
02/24/2022,81.333,89.352,81.318,84.325,2.997,+3.69%,58221
02/23/2022,78.789,81.502,78.577,81.328,2.539,+3.22%,102519
02/22/2022,80.159,80.934,78.471,78.789,-1.369,-1.71%,153070
02/21/2022,77.368,80.191,76.133,80.158,2.841,+3.67%,164548
02/18/2022,76.282,77.443,75.623,77.317,1.024,+1.34%,99423
02/17/2022,75.111,76.684,75.033,76.293,1.177,+1.57%,109668
02/16/2022,75.449,75.509,74.828,75.116,-0.335,-0.44%,90118
02/15/2022,76.479,76.782,75.097,75.451,-1.029,-1.35%,106426
02/14/2022,76.858,77.905,75.951,76.48,-0.338,-0.44%,133732
02/11/2022,75.019,77.564,74.806,76.818,1.796,+2.39%,104768
02/10/2022,74.761,75.094,74.245,75.022,0.26,+0.35%,68487
02/09/2022,75.003,75.105,74.472,74.762,-0.241,-0.32%,48160
02/08/2022,75.359,75.552,74.968,75.003,-0.355,-0.47%,56767
02/07/2022,75.756,76.009,75.354,75.358,-0.39,-0.51%,58402
02/04/2022,76.233,76.497,75.646,75.748,-0.49,-0.64%,64989
02/03/2022,76.087,76.803,76.074,76.238,0.159,+0.21%,84145
02/02/2022,76.851,76.872,75.671,76.079,-0.772,-1.00%,69649
02/01/2022,77.294,77.497,76.381,76.851,-0.444,-0.57%,69422
01/31/2022,78.124,78.124,77.123,77.295,-0.848,-1.09%,61073
01/28/2022,77.946,78.29,77.375,78.143,0.215,+0.28%,83427
01/27/2022,79.247,79.708,77.379,77.928,-1.329,-1.68%,91509
01/26/2022,78.684,80.364,78.504,79.257,0.572,+0.73%,103058
01/25/2022,78.641,79.325,78.253,78.685,0.063,+0.08%,94367
01/24/2022,77.578,79.478,76.963,78.622,1.029,+1.33%,126428
01/21/2022,76.416,77.724,76.267,77.593,1.155,+1.51%,80876
01/20/2022,76.115,76.811,75.988,76.438,0.324,+0.43%,68437
01/19/2022,76.998,77.103,75.815,76.114,-0.884,-1.15%,81790
01/18/2022,76.269,76.998,75.883,76.998,0.747,+0.98%,87002
01/17/2022,76.204,76.773,75.608,76.251,0.052,+0.07%,76655
01/14/2022,76.407,76.965,75.586,76.199,-0.204,-0.27%,86689
01/13/2022,74.563,76.572,74.459,76.403,1.842,+2.47%,77862
01/12/2022,74.385,74.89,74.285,74.561,0.175,+0.24%,55632
01/11/2022,74.928,75.082,74.341,74.386,-0.54,-0.72%,55258
01/10/2022,75.672,75.72,74.844,74.926,-0.775,-1.02%,64648
01/07/2022,76.272,76.492,75.077,75.701,-0.571,-0.75%,44773
01/06/2022,76.746,77.25,75.997,76.272,-0.474,-0.62%,62270
01/05/2022,75.239,76.809,75.204,76.746,1.497,+1.99%,42453
01/04/2022,74.525,75.569,74.373,75.249,0.714,+0.96%,43962
01/03/2022,74.883,75.152,74.16,74.535,-0.324,-0.43%,31275
12/31/2021,74.597,75.4,74.471,74.859,0.267,+0.36%,14894
12/30/2021,73.917,75.129,73.895,74.592,0.676,+0.91%,48399
12/29/2021,73.59,74.182,73.53,73.916,0.325,+0.44%,42731
12/28/2021,73.406,73.867,73.321,73.591,0.183,+0.25%,39647
12/27/2021,73.611,73.633,73.078,73.408,-0.223,-0.30%,40119
12/24/2021,73.385,73.713,73.13,73.631,0.248,+0.34%,35376
12/23/2021,73.636,73.641,73.178,73.383,-0.253,-0.34%,42553
12/22/2021,73.958,74.129,73.59,73.636,-0.321,-0.43%,42149
12/21/2021,74.222,74.233,73.711,73.957,-0.264,-0.36%,43402
12/20/2021,74.148,74.449,74.055,74.221,0.087,+0.12%,42844
12/17/2021,73.749,74.224,73.53,74.134,0.389,+0.53%,47092
12/16/2021,73.579,73.822,73.337,73.745,0.163,+0.22%,45478
12/15/2021,73.767,74.316,73.582,73.582,-0.19,-0.26%,44658
12/14/2021,73.495,73.87,73.378,73.772,0.275,+0.37%,43542
12/13/2021,73.336,73.689,73.228,73.497,0.157,+0.21%,42676
12/10/2021,73.653,73.746,73.252,73.34,-0.314,-0.43%,40564
12/09/2021,73.533,73.732,73.455,73.654,0.119,+0.16%,37244
12/08/2021,74.055,74.1,73.486,73.535,-0.514,-0.69%,46195
12/07/2021,74.251,74.519,73.826,74.049,-0.21,-0.28%,45359
12/06/2021,73.906,74.41,73.502,74.259,0.352,+0.48%,47438
12/03/2021,73.634,73.944,73.29,73.907,0.271,+0.37%,46975
12/02/2021,74.142,74.311,73.518,73.636,-0.516,-0.70%,56315
